flag; num; time_ms; gps_time_s; gps_time_us; crc
8;886;602793;51714;0;28952
8;887;603408;51714;0;51272
8;888;604124;51715;0;54744
8;889;604735;51715;0;39399
8;890;605435;51716;0;22685
8;891;606027;51717;0;61316
8;892;606728;51717;0;55119
8;893;607343;51718;0;11780
8;894;608066;51719;0;59175
8;895;608659;51719;0;36088
8;896;609344;51720;0;9614
8;897;609975;51721;0;40917
8;898;610688;51721;0;40387
8;899;611290;51722;0;31030
8;900;611953;51723;0;7643
8;901;612555;51723;0;56275
8;902;613265;51724;0;7872
8;903;613883;51725;0;32036
8;904;614557;51725;0;35408
8;905;615148;51726;0;7730
8;906;615862;51727;0;2733
8;907;616475;51727;0;35652
8;908;617176;51728;0;52729
8;909;617807;51728;0;2719
8;910;618470;51729;0;48256
8;911;619067;51730;0;9361
8;912;619809;51731;0;15735
8;913;620425;51731;0;14604
8;914;621122;51732;0;12769
8;915;621697;51732;0;51466
8;916;622406;51733;0;63887
8;917;623009;51734;0;15059
8;918;623705;51734;0;3015
8;919;624293;51735;0;44971
8;920;624990;51736;0;22033
8;921;625591;51736;0;35935
8;922;626289;51737;0;46078
8;923;626907;51738;0;57326
